Designator,Mid X,Mid Y,Rotation,Layer
C1,108.045032,-78.562482,90.0,bottom
C10,107.807783,-85.902484,180.0,bottom
C11,98.112529,-79.14269,90.0,bottom
C12,106.014014,-82.120732,180.0,bottom
C13,103.474014,-91.137734,180.0,bottom
C14,92.186782,-85.013484,0.0,bottom
C15,97.632014,-92.153732,315.0,bottom
C16,104.759782,-79.425485,90.0,bottom
C17,103.235783,-79.425484,90.0,bottom
C2,116.090948,-80.579752,270.0,bottom
C3,113.030033,-89.382483,90.0,bottom
C4,106.014014,-83.136732,180.0,bottom
C5,107.807782,-87.426483,180.0,bottom
C6,92.186783,-83.489482,0.0,bottom
C7,88.361014,-91.617483,0.0,bottom
C8,88.615015,-84.914732,180.0,bottom
C9,109.245032,-78.562483,270.0,bottom
D1,112.312875,-77.025325,180.0,bottom
D2,117.242875,-74.645326,180.0,bottom
D3,101.170032,-73.524983,270.0,bottom
F1,76.431949,-41.412459,0.0,bottom
J1,81.56345,-30.84637,180.0,bottom
J3,153.991887,-226.182277,285.0,bottom
J4,129.325976,-150.660941,110.0,bottom
J5,41.320989,-98.681179,65.89999999999998,bottom
J6,147.521604,-101.675436,337.0,bottom
MX1,36.245134,-155.448371,180.0,bottom
MX12,117.96902,-189.796285,180.0,bottom
MX13,123.088468,-231.803524,180.0,bottom
MX16,135.756471,-205.584678,180.0,bottom
MX18,70.289108,-90.974468,180.0,bottom
MX20,86.403689,-69.557364,180.0,bottom
MX21,110.978202,-66.753041,180.0,bottom
MX24,137.083543,-76.57229,180.0,bottom
MX26,49.036934,-75.624269,180.0,bottom
MX28,66.202389,-55.727667,180.0,bottom
MX3,60.253008,-139.473316,180.0,bottom
MX30,96.834129,-46.58621,180.0,bottom
MX32,130.475027,-48.839999,180.0,bottom
MX34,160.878343,-120.497031,0.0,bottom
MX35,150.589293,-141.594395,0.0,bottom
MX37,151.924572,-164.870306,0.0,bottom
MX39,174.667447,-139.961405,0.0,bottom
MX41,175.734004,-162.955713,0.0,bottom
MX6,86.693401,-134.025694,180.0,bottom
MX8,104.761863,-151.73637,180.0,bottom
MX9,105.301017,-216.01513,180.0,bottom
R1,88.66845,-32.672458,0.0,bottom
R10,115.022877,-99.245325,0.0,bottom
R11,92.186783,-87.045484,180.0,bottom
R12,149.949053,-217.592966,0.0,bottom
R13,39.822444,-90.886584,245.89999999999998,bottom
R14,137.806993,-159.964697,110.0,bottom
R15,148.561823,-89.221546,337.0,bottom
R2,85.71195,-41.182458,180.0,bottom
R3,74.88195,-38.522459,0.0,bottom
R4,101.160033,-76.152483,90.0,bottom
R5,105.065032,-75.452483,0.0,bottom
R6,105.065032,-73.912483,180.0,bottom
R7,85.68,-79.982483,270.0,bottom
R8,111.530033,-85.472483,0.0,bottom
R9,111.530033,-83.942482,0.0,bottom
SW1,117.279053,-94.455326,90.0,bottom
U1,113.902876,-80.122826,270.0,bottom
U2,81.56195,-43.302459,270.0,bottom
U3,99.775033,-85.902483,90.0,bottom
U4,111.120034,-95.032482,90.0,bottom
Y1,88.630784,-88.188484,270.0,bottom
